plot,year,old_tag_no,new_tag_number,notes
2107,2000,23,165,
2107,2000,67,245,
2107,2002,229,269,
2107,2006,287,326,
2108,2000,123,,
2108,2000,64,,
2108,2000,41,,
2108,2005,227,240,
2108,2006,217,278,
2108,2006,C9 #69,??? Needs new number,
2108,2006,29,291,
2108,2006,262,229,
2108,2007,184,331,
2206,2002,45,25,
2206,2002,76,186,
2206,2003,19,193,
2206,2006,108,341,
2206,2006,269,322,
2206,2006,53,320,
2206,2006,208,242,
2206,2006,104,331,
5750,2000,349,575,
5750,2000,160,673,
5750,2001,107,717,
5750,2001,618,781,
5750,2004,53,872,
5750,2004,28,874,
5750,2004,43,875,
5750,2004,45,878,
5750,2004,42,879,
5750,2004,46,884,
5750,2004,83,886,
5750,2004,31,889,
5750,2004,16,893,
5750,2004,38,899,
5750,2004,30,904,
5750,2004,48,906,
5750,2004,54,907,
5750,2004,23,912,
5750,2004,32,913,
5750,2004,41,921,
5750,2004,55,929,
5750,2004,25,930,
5750,2004,50,935,
5750,2004,37,939,
5750,2004,24,945,
5750,2004,27,955,
5750,2004,2,956,
5750,2004,26,957,
5750,2004,44,961,
5750,2004,5,962,
5750,2004,82,963,
5750,2004,58,964,
5750,2004,7,965,
5750,2004,62,969,
5750,2004,21,973,
5750,2004,69,975,
5750,2004,71,976,
5750,2004,15,977,
5750,2004,78,978,
5750,2004,18,979,
5750,2004,68,980,
5750,2004,84,981,
5750,2004,96,982,
5750,2004,72,983,
5750,2004,51,986,
5750,2004,104,989,
5750,2004,66,990,
5750,2004,61,991,
5750,2004,67,992,
5750,2004,74,993,
5750,2004,91,994,
5750,2004,20,995,
5750,2004, 13 (996 in h7 and one in d7),996,
5750,2004, 89 (996 in h7 and one in d7),996,
5750,2004,3,998,
5750,2004,80,999,
5750,2004,64,1000,
5750,2004,126,1130,
5750,2004,22,1301,
5750,2004,11,1305,
5750,2004,116,1306,
5750,2004,12,1307,
5750,2004,17,1309,
5750,2004,59,1311,
5750,2004,6,1313,
5750,2004,8,1316,
5750,2004,4,1317,
5750,2004,75,1320,
5750,2004,19,1321,
5750,2004,52,1329,
5750,2004,90,1331,
5750,2004,104,1332,
5750,2004,128,1334,
5750,2004,111,1341,
5750,2004,87,1386,
5750,2004,56,1392,
5750,2004,103,1395,
5750,2004,93,1397,
5750,2006,1333,1404,
5750,2006,1335,1414,
5750,2006,468,1415,
5750,2006,814,1442,
5750,2006,465,1436,
5750,2006,968,896,
5750,2006,996,966,
5750,2006,1312,1416,
5750,2006,342,1425,
5750,2006,564,1418,
5750,2006,1381,1391,
5750,2007,36,2018,
5750,2007,247,2066,
5750,2007,36,2018,
5751,2006,305,403,
5752,2006,622,804,
5752,2006,116,789,
5753,2006,98,405,
5756,1999, U171,425,
5756,1999, U116,467,
5756,1999, U117,478,
5756,1999, U172,482,
5756,1999,399,598,
5756,1999, U104,746,
5756,2000,167,776,
5756,2001,479,935,
5756,2001,12,949,
5756,2002,7,956,
5756,2006,1671,1649,
5756,2006,342,1661,
5756,2006,1272,1656,
5756,2007,286,1687,
CF-CF,2001,252,292,
CF-CF,2002,341,"267 (not sure which is original, but think it is like this)",
CF-CF,2004,371,21,
CF-CF,2006,116,62,
CF-CF,2007,5,2102,
CF-CF,2007,173,87,
Colosso-1,1999, U7,154,
Colosso-1,1999, U9,137,
Colosso-1,2000,100,277,
Colosso-1,2002,179,246,
Colosso-10,2000,214=305,214,
Colosso-10,2000,186,280,
Colosso-10,2001,196,552,
Colosso-10,2001,251,556,
Colosso-10,2001,308,585,
Dim-CF,2001,77,108,
Dim-CF,2001,142,122,
Dim-CF,2001,15,106,
Dim-CF,2001,12,167,
Dim-CF,2006,176,184,
Dim-CF,2006,176,184,
Florestal,2000,480,904,
Florestal,2000,435,930,
Florestal,2001,19,1036,
Florestal,2001,277,1004,
Florestal,2001,608,1077,
Florestal,2002,424,1118,
Florestal,2002,920,1442,
Florestal,2006,257,1273,
Florestal,2006,1027,1257,
Florestal,2006,257,1273,
Florestal,2006,1027,1257,
Florestal,2007,48,1294,
Florestal,2007,159,1581,
Florestal,2007,121,1570,
PA CF,2001,103,295,
PA CF,2001,122,263,
PA CF,2001,11,287,
PA CF,2004,43,224,
PA CF,2006,204,42,
PA CF,2006,116,62,
PA1,2002,43,400,
PA1,2004,21,371,
PA-10,2000,548,611,
PA-10,2000,170,625,
PA-10,2000,572,909,
PA-10,2001,316,1383,
PA-10,2001,608,1389,
PA-10,2001,323,1390,
PA-10,2001,300,1391,
PA-10,2001,632,1396,
PA-10,2001,297,1398,
PA-10,2002,501,632,
PA-10,2002,57,928,
PA-10,2002,120,984,
PA-10,2002,23,993,
PA-10,2002,27,1305,
PA-10,2002,26,1309,
PA-10,2002,22,1354,
PA-10,2003,PVC,24,
PA-10,2003, PVC 71,817,
PA-10,2003,PVC,10,
PA-10,2003,PVC,61,
PA-10,2003,PVC 10,801,
PA-10,2003,321,806,
PA-10,2003,PVC 73,831,
PA-10,2003,PVC 61,832,
PA-10,2003,5,847,
PA-10,2004,PVC 40,705,
PA-10,2004,PVC,746,
PA-10,2005,pvc40,705,
PA-CF,2007,75,305,
2107,2008,40,365,
5753,2009,366,371,
5753,2009,74,412,
Florestal,2009,174,1912,
